City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Bubaque,GW,82.53,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
306,Namatanai,PG,85.6,light rain,-3.6667,152.4333,Seagulls Inn Namatani
317,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
321,Lakatoro,VU,85.26,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
324,Mitsamiouli,KM,79.57,few clouds,-11.3847,43.2844,Foyer ADM
328,Faanui,PF,80.49,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
329,Itarema,BR,80.08,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
330,Mackay,AU,75.18,light rain,-21.15,149.2,International Lodge Motel
332,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
333,Gunnedah,AU,80.22,broken clouds,-30.9833,150.25,Gunnedah Motor Inn
337,Probolinggo,ID,82.26,overcast clouds,-7.7543,113.2159,RedDoorz @ Panglima Sudirman Probolinggo
342,Japura,ID,85.03,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
352,Abu Dhabi,AE,75.22,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
356,Maragogi,BR,78.37,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
362,Dingle,PH,85.26,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
369,Dhidhdhoo,MV,81.0,overcast clouds,6.8833,73.1,Dhidhoo beach
372,Tual,ID,83.55,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
373,Ipixuna,BR,76.95,moderate rain,-1.7625,-48.8043,Casa da Oscarina
374,Lodwar,KE,80.47,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
376,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
377,Chaiya,TH,75.18,heavy intensity rain,9.3862,99.1986,JP Place
380,Brazzaville,CG,75.56,light rain,-4.2658,15.2832,Hotel Muesse
390,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
391,Bac Lieu,VN,76.32,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
396,Lazaro Cardenas,MX,75.83,clear sky,17.9583,-102.2,quinta antigua
403,Soure,BR,80.62,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
405,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
420,Pemangkat,ID,82.72,overcast clouds,1.1667,108.9667,Ramah Kost KITA
421,Anuradhapura,LK,78.87,broken clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
422,Naifaru,MV,78.76,light rain,5.4444,73.3657,Naifaru Residence Guest House
425,Itaporanga,BR,79.99,broken clouds,-7.3044,-38.1503,Hotel Rainha do Vale
