City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Bakal,RU,54.9417,58.8083,18.7,75,89,4.72,overcast clouds
323,Shimoda,JP,34.6667,138.95,55.76,59,69,4.43,broken clouds
324,Mitsamiouli,KM,-11.3847,43.2844,79.57,79,19,8.5,few clouds
325,Luderitz,NA,-26.6481,15.1594,58.8,82,66,4.14,broken clouds
326,Taltal,CL,-25.4,-70.4833,61.25,81,36,2.86,scattered clouds
327,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,77,75,13.8,broken clouds
328,Faanui,PF,-16.4833,-151.75,80.49,74,90,5.21,light rain
329,Itarema,BR,-2.9248,-39.9167,80.08,80,38,12.68,scattered clouds
330,Mackay,AU,-21.15,149.2,75.18,94,75,5.75,light rain
331,Genhe,CN,50.7833,121.5167,9.5,78,99,3.67,overcast clouds
332,Pitimbu,BR,-7.4706,-34.8086,81.19,79,31,10.16,scattered clouds
333,Gunnedah,AU,-30.9833,150.25,80.22,56,52,4.45,broken clouds
334,Verkhnyaya Inta,RU,65.9811,60.3094,14.31,95,100,9.62,light snow
335,Praya,CV,14.9215,-23.5087,73.94,73,20,21.85,few clouds
336,Abalak,RU,58.1286,68.5944,20.07,86,68,9.13,broken clouds
337,Probolinggo,ID,-7.7543,113.2159,82.26,85,100,2.01,overcast clouds
338,Karratha,AU,-20.7377,116.8463,94.93,32,0,10.13,clear sky
339,Concepcion Del Oro,MX,24.6333,-101.4167,53.4,59,77,4.72,broken clouds
340,Arlit,NE,18.7369,7.3853,73.69,17,100,5.3,overcast clouds
341,Usakos,NA,-22.0,15.6,65.52,35,1,2.17,clear sky
342,Japura,ID,-0.3167,102.35,85.03,59,100,3.53,overcast clouds
343,Yerbogachen,RU,61.2767,108.0108,3.52,95,100,3.56,overcast clouds
344,Yashkino,RU,55.8736,85.4265,16.75,96,100,7.96,overcast clouds
